Electricity:Facility,Photovoltaic:ElectricityProduced,ElectricityProduced:Facility,ElectricityPurchased:Facility,ElectricitySurplusSold:Facility,ElectricityNet:Facility
211420203281.53235,50750632760.06549,49735620104.8644,166823115051.50836,5138531874.873276,161684583176.62933
266489897479.64264,50868364002.0373,49850996721.99681,221241648940.48575,4602748182.825885,216638900757.65906
177514956756.89804,51128674224.430664,50106100739.94223,133054946667.8452,5646090650.869034,127408856016.97693
153634726223.69763,51116008587.20601,50093688415.46206,109536596031.83989,5995558223.620933,103541037808.21756
152365114489.60434,50905261544.02799,49887156313.14748,108548068925.16507,6070110748.715006,102477958176.45233
135166011532.67542,51112134071.275925,50089891389.85063,91514882165.45627,6438762022.651639,85076120142.80003
210754315782.3695,51127226819.300575,50104682282.91388,165880636083.81766,5231002584.37007,160649633499.4467
171862069635.00958,49620020781.095985,48627620365.473564,128771998058.21408,5537548788.710562,123234449269.50354
164405403727.5595,51131965203.97266,50109325899.89239,120181419964.68117,5885342137.012718,114296077827.66745
179958698831.17914,51129829639.16769,50107233046.38446,135464723079.87367,5613257295.116208,129851465784.75845
134977971828.41467,50897470924.54253,49879521506.05195,91447817650.18222,6349367327.823575,85098450322.35701
226721188879.9392,50472746895.80755,49463291957.890945,182209267615.55298,4951370693.513413,177257896922.03986
137558105852.10278,51123000801.068985,50100540785.04755,93773193968.35788,6315628901.290717,87457565067.06795
118080135635.30318,50391694993.01014,49383861093.14979,75332262749.78424,6635988207.640592,68696274542.13809
187888099364.32755,51135994710.66323,50113274816.44987,143276032452.97458,5501207905.1214695,137774824547.85034
225590694755.96423,49247943556.221375,48262984685.09681,182095241022.48892,4767530951.6125965,177327710070.8795
149756817515.62314,50356246873.66902,49349121936.19543,106345136455.13583,5937440875.699087,100407695579.43535
201027368193.79205,49421826387.36344,48433389859.6157,157762538085.19583,5168559750.984651,152593978334.2157
217110972578.2727,49893814171.3262,48895937887.8999,173299686325.50577,5084651635.112733,168215034690.3929
188339189981.55728,50978283972.11745,49958718292.675156,143847224897.36478,5466753208.482789,138380471688.88385
163192840506.37564,50795785402.14348,49779869694.10046,119319227261.9791,5906256449.758803,113412970812.21957
185418381065.73364,49818274400.22334,48821908912.21881,142005497142.76,5409024989.245215,136596472153.51509
174330673715.02884,49604553296.12241,48612462230.19994,131163615649.50125,5445404164.69107,125718211484.80904
214419350956.873,51133347744.974915,50110680790.07514,169594971911.78488,5286301744.96706,164308670166.82086
265641030243.71634,50657992502.20987,49644832652.16585,220703144141.81213,4706946550.269116,215996197591.5439
220882647595.32355,50254350899.567986,49249263881.57666,176618939261.20444,4985555547.4926405,171633383713.70825
186623882351.14145,49609690519.92602,48617496709.527756,143288013647.31305,5281628005.717482,138006385641.59225
221252149472.84918,51134468314.295006,50111778948.009224,176338713887.18954,5198343362.351669,171140370524.83585
186437068567.0952,51063488097.14883,50042218335.205666,142022849184.0913,5627998952.210457,136394850231.88083
264789817010.385,51122344125.09352,50099897242.59196,219465384745.81372,4775464978.003941,214689919767.8124
271964218090.85284,50142309846.30817,49139463649.381874,227414642161.169,4589887719.692927,222824754441.47723
255606772529.70276,50352869946.447395,49345812547.51817,211000274044.4879,4739314062.327996,206260959982.16043
270098190164.8017,51116942374.91922,50094603527.42023,224753477203.84805,4749890566.455728,220003586637.393
219349893410.3282,50362696890.32749,49355442952.5213,175151780169.68143,5157329711.856966,169994450457.82806
279311301830.55994,50098779657.85126,49096804064.69364,234713652188.5088,4499154422.618629,230214497765.89124
131925566292.17107,49943092551.16385,48944230700.14091,89187739090.9667,6206403498.918311,82981335592.05061
265970082450.9899,49712969903.0394,48718710504.97878,221828102193.9771,4576730247.990881,217251371945.98535
134228589945.27362,50671854314.25222,49658417227.967064,90817155355.50954,6246982638.216179,84570172717.29205
148692857570.8953,50170778785.454056,49167363209.74498,105395270731.62192,5869776370.459518,99525494361.16397
118472553414.81879,49986540699.87919,48986809885.880806,75970169455.62477,6484425926.655733,69485743528.97517
198292007831.81467,51036803686.050964,50016067612.330215,153680587043.4103,5404646823.945702,148275940219.4648
150292984803.9953,51126048912.18602,50103527933.942604,106236224961.3304,6046768091.271506,100189456870.05746
112244085651.6047,51125977301.36176,50103457755.33427,69186951846.41475,7046323950.16481,62140627896.24944
210482986484.06046,50813697147.76613,49797423204.810005,165893013941.15384,5207450661.914118,160685563279.24
189753224301.0737,50228579472.30052,49224007882.85524,145878378951.8485,5349162533.636291,140529216418.21173
